rnaId,leukgen_sample_id
OCRC2224_IGO_07456_AC_1,E-H-130884-T1-1-D1-1
OCRC1813_IGO_07456_AC_5,E-H-130888-T1-1-D1-1
RB-065_IGO_07456_AC_43,E-H-135538-T1-1-D1-1
RB-088_IGO_07456_AC_44,E-H-135539-T1-1-D1-1
RB-128_IGO_07456_AC_46,E-H-135542-T1-1-D1-1
1312_Ovary_right_IGO_07456_AC_50,E-H-135552-T1-1-D1-1
1556_Ovary_right_IGO_07456_AC_51,E-H-135553-T1-1-D1-1
1584_Ovary_right_IGO_07456_AC_52,E-H-135554-T1-1-D1-1
1754_Ovary_right_IGO_07456_AC_53,E-H-135555-T1-1-D1-1
1820_Ovary_left_IGO_07456_AC_54,E-H-135556-T1-1-D1-1
1955_Ovary_right_IGO_07456_AC_55,E-H-135558-T1-1-D1-1
2205_Ovary_left_IGO_07456_AC_56,E-H-135559-T1-1-D1-1
2496_Ovary_left_IGO_07456_AC_58,E-H-135561-T1-1-D1-1
3068_Ovary_right_IGO_07456_AC_59,E-H-135564-T1-1-D1-1
3172_Ovary_right_IGO_07456_AC_60,E-H-135565-T1-1-D1-1
3524_Ovary_IGO_07456_AC_61,E-H-135566-T1-1-D1-1
3547_Ovary_left_IGO_07456_AC_62,E-H-135567-T1-1-D1-1
3565_Ovary_left_IGO_07456_AC_63,E-H-135568-T1-1-D1-1
3693_Ovary_left_IGO_07456_AC_64,E-H-135570-T1-1-D1-1
4661_Ovary_left_IGO_07456_AC_65,E-H-135572-T1-1-D1-1
4668_Ovary_right_IGO_07456_AC_66,E-H-135574-T1-1-D1-1
4951_Ovary_right_IGO_07456_AC_67,E-H-135575-T1-1-D1-1
5037__Ovary_right_IGO_07456_AC_68,E-H-135576-T1-1-D1-1
321_RNA_IGO_07456_AC_71,E-H-135619-T1-1-D1-1
324_RNA_IGO_07456_AC_72,E-H-135620-T1-1-D1-1
335_RNA_IGO_07456_AC_73,E-H-135622-T1-1-D1-1
345_RNA_IGO_07456_AC_74,E-H-135624-T1-1-D1-1
403_RNA_IGO_07456_AC_75,E-H-135626-T1-1-D1-1
404_RNA_IGO_07456_AC_76,E-H-135627-T1-1-D1-1
408_RNA_IGO_07456_AC_134,E-H-135628-T1-1-D1-1
425_RNA_IGO_07456_AC_135,E-H-135630-T1-1-D1-1
427_RNA_IGO_07456_AC_136,E-H-135631-T1-1-D1-1
428_RNA_IGO_07456_AC_77,E-H-135632-T1-1-D1-1
466_RNA_IGO_07456_AC_78,E-H-135634-T1-1-D1-1
570_RNA_IGO_07456_AC_79,E-H-135641-T1-1-D1-1
571_RNA_IGO_07456_AC_80,E-H-135642-T1-1-D1-1
612_RNA_IGO_07456_AC_137,E-H-135645-T1-1-D1-1
614_RNA_IGO_07456_AC_138,E-H-135646-T1-1-D1-1
640_RNA_IGO_07456_AC_139,E-H-135649-T1-1-D1-1
645_RNA_IGO_07456_AC_140,E-H-135650-T1-1-D1-1
656_RNA_IGO_07456_AC_141,E-H-135652-T1-1-D1-1
694_RNA_IGO_07456_AC_81,E-H-135655-T1-1-D1-1
696_RNA_IGO_07456_AC_142,E-H-135656-T1-1-D1-1
709_RNA_IGO_07456_AC_82,E-H-135657-T1-1-D1-1
720_RNA_IGO_07456_AC_83,E-H-135661-T1-1-D1-1
723_RNA_IGO_07456_AC_144,E-H-135662-T1-1-D1-1
724_RNA_IGO_07456_AC_145,E-H-135663-T1-1-D1-1
727_RNA_IGO_07456_AC_146,E-H-135665-T1-1-D1-1
728_RNA_IGO_07456_AC_147,E-H-135666-T1-1-D1-1
730_RNA_IGO_07456_AC_84,E-H-135668-T1-1-D1-1
731_RNA_IGO_07456_AC_148,E-H-135669-T1-1-D1-1
735_RNA_IGO_07456_AC_149,E-H-135671-T1-1-D1-1
736_RNA_IGO_07456_AC_150,E-H-135672-T1-1-D1-1
742_RNA_IGO_07456_AC_151,E-H-135675-T1-1-D1-1
743_RNA_IGO_07456_AC_152,E-H-135676-T1-1-D1-1
745_RNA_IGO_07456_AC_153,E-H-135677-T1-1-D1-1
747_RNA_IGO_07456_AC_154,E-H-135678-T1-1-D1-1
748_RNA_IGO_07456_AC_155,E-H-135679-T1-1-D1-1
767_RNA_IGO_07456_AC_156,E-H-135681-T1-1-D1-1
773_RNA_IGO_07456_AC_157,E-H-135682-T1-1-D1-1
779_RNA_IGO_07456_AC_158,E-H-135683-T1-1-D1-1
788_RNA_IGO_07456_AC_159,E-H-135685-T1-1-D1-1
791_RNA_IGO_07456_AC_160,E-H-135686-T1-1-D1-1
792_RNA_IGO_07456_AC_161,E-H-135687-T1-1-D1-1
794_RNA_IGO_07456_AC_162,E-H-135689-T1-1-D1-1
798_RNA_IGO_07456_AC_88,E-H-135693-T1-1-D1-1
799_RNA_IGO_07456_AC_163,E-H-135694-T1-1-D1-1
800_RNA_IGO_07456_AC_89,E-H-135695-T1-1-D1-1
801_RNA_IGO_07456_AC_164,E-H-135696-T1-1-D1-1
831_RNA_IGO_07456_AC_165,E-H-135697-T1-1-D1-1
837_RNA_IGO_07456_AC_90,E-H-135698-T1-1-D1-1
840_RNA_IGO_07456_AC_91,E-H-135699-T1-1-D1-1
844_RNA_IGO_07456_AC_166,E-H-135700-T1-1-D1-1
869_RNA_IGO_07456_AC_167,E-H-135702-T1-1-D1-1
981_RNA_IGO_07456_AC_92,E-H-135705-T1-1-D1-1
1064_RNA_IGO_07456_AC_168,E-H-135706-T1-1-D1-1
1157_RNA_IGO_07456_AC_93,E-H-135709-T1-1-D1-1
1161_RNA_IGO_07456_AC_169,E-H-135710-T1-1-D1-1
1289_RNA_IGO_07456_AC_94,E-H-135714-T1-1-D1-1
1293_RNA_IGO_07456_AC_95,E-H-135715-T1-1-D1-1
1308_RNA_IGO_07456_AC_170,E-H-135718-T1-1-D1-1
1314_RNA_IGO_07456_AC_98,E-H-135719-T1-1-D1-1
1315_RNA_IGO_07456_AC_99,E-H-135720-T1-1-D1-1
1316_RNA_IGO_07456_AC_100,E-H-135721-T1-1-D1-1
1331_RNA_IGO_07456_AC_171,E-H-135722-T1-1-D1-1
1375_RNA_IGO_07456_AC_172,E-H-135723-T1-1-D1-1
1384_RNA_IGO_07456_AC_173,E-H-135726-T1-1-D1-1
1403_RNA_IGO_07456_AC_101,E-H-135729-T1-1-D1-1
1406_RNA_IGO_07456_AC_175,E-H-135730-T1-1-D1-1
1414_RNA_IGO_07456_AC_102,E-H-135732-T1-1-D1-1
1433_RNA_IGO_07456_AC_176,E-H-135734-T1-1-D1-1
1435_RNA_IGO_07456_AC_177,E-H-135735-T1-1-D1-1
1451_RNA_IGO_07456_AC_178,E-H-135736-T1-1-D1-1
